disease,itemset_size,itemset,support
Alcoholic hepatitis,3," abdominal_pain,  fluid_overload,  vomiting",0.85
Alcoholic hepatitis,3," abdominal_pain,  fluid_overload,  swelling_of_stomach",0.85
Alcoholic hepatitis,3," abdominal_pain,  vomiting,  yellowish_skin",0.85
Alcoholic hepatitis,3," abdominal_pain,  history_of_alcohol_consumption,  vomiting",0.85
Alcoholic hepatitis,3," swelling_of_stomach,  vomiting,  yellowish_skin",0.85
Alcoholic hepatitis,3," distention_of_abdomen,  swelling_of_stomach,  yellowish_skin",0.85
Alcoholic hepatitis,3," fluid_overload,  swelling_of_stomach,  yellowish_skin",0.85
Alcoholic hepatitis,3," abdominal_pain,  swelling_of_stomach,  yellowish_skin",0.85
Alcoholic hepatitis,3," abdominal_pain,  fluid_overload,  history_of_alcohol_consumption",0.85
Alcoholic hepatitis,3," abdominal_pain,  fluid_overload,  yellowish_skin",0.85
Alcoholic hepatitis,3," abdominal_pain,  swelling_of_stomach,  vomiting",0.85
Alcoholic hepatitis,3," abdominal_pain,  history_of_alcohol_consumption,  yellowish_skin",0.85
Alcoholic hepatitis,3," history_of_alcohol_consumption,  swelling_of_stomach,  yellowish_skin",0.85
Alcoholic hepatitis,3," fluid_overload,  history_of_alcohol_consumption,  vomiting",0.85
Alcoholic hepatitis,3," fluid_overload,  vomiting,  yellowish_skin",0.85
Alcoholic hepatitis,3," history_of_alcohol_consumption,  swelling_of_stomach,  vomiting",0.85
Alcoholic hepatitis,3," distention_of_abdomen,  fluid_overload,  history_of_alcohol_consumption",0.85
Alcoholic hepatitis,3," distention_of_abdomen,  fluid_overload,  yellowish_skin",0.85
Alcoholic hepatitis,3," distention_of_abdomen,  history_of_alcohol_consumption,  swelling_of_stomach",0.85
Alcoholic hepatitis,3," abdominal_pain,  history_of_alcohol_consumption,  swelling_of_stomach",0.85
Alcoholic hepatitis,3," abdominal_pain,  distention_of_abdomen,  fluid_overload",0.85
Alcoholic hepatitis,3," fluid_overload,  history_of_alcohol_consumption,  yellowish_skin",0.85
Alcoholic hepatitis,3," distention_of_abdomen,  fluid_overload,  vomiting",0.85
Alcoholic hepatitis,3," distention_of_abdomen,  swelling_of_stomach,  vomiting",0.85
Alcoholic hepatitis,3," abdominal_pain,  distention_of_abdomen,  yellowish_skin",0.85
Alcoholic hepatitis,3," abdominal_pain,  distention_of_abdomen,  history_of_alcohol_consumption",0.85
Alcoholic hepatitis,3," abdominal_pain,  distention_of_abdomen,  swelling_of_stomach",0.85
Alcoholic hepatitis,3," distention_of_abdomen,  fluid_overload,  swelling_of_stomach",0.85
Alcoholic hepatitis,3," distention_of_abdomen,  history_of_alcohol_consumption,  yellowish_skin",0.85
Alcoholic hepatitis,3," fluid_overload,  swelling_of_stomach,  vomiting",0.85
Alcoholic hepatitis,3," history_of_alcohol_consumption,  vomiting,  yellowish_skin",0.85
Alcoholic hepatitis,3," abdominal_pain,  distention_of_abdomen,  vomiting",0.85
Alcoholic hepatitis,3," distention_of_abdomen,  vomiting,  yellowish_skin",0.85
Alcoholic hepatitis,3," distention_of_abdomen,  history_of_alcohol_consumption,  vomiting",0.85
Alcoholic hepatitis,3," fluid_overload,  history_of_alcohol_consumption,  swelling_of_stomach",0.85
Alcoholic hepatitis,3," abdominal_pain,  fluid_overload,  vomiting",0.85
Alcoholic hepatitis,3," abdominal_pain,  fluid_overload,  swelling_of_stomach",0.85
Alcoholic hepatitis,3," abdominal_pain,  vomiting,  yellowish_skin",0.85
Alcoholic hepatitis,3," abdominal_pain,  history_of_alcohol_consumption,  vomiting",0.85
Alcoholic hepatitis,3," swelling_of_stomach,  vomiting,  yellowish_skin",0.85
Alcoholic hepatitis,3," distention_of_abdomen,  swelling_of_stomach,  yellowish_skin",0.85
Alcoholic hepatitis,3," fluid_overload,  swelling_of_stomach,  yellowish_skin",0.85
Alcoholic hepatitis,3," abdominal_pain,  swelling_of_stomach,  yellowish_skin",0.85
Alcoholic hepatitis,3," abdominal_pain,  fluid_overload,  history_of_alcohol_consumption",0.85
Alcoholic hepatitis,3," abdominal_pain,  fluid_overload,  yellowish_skin",0.85
Alcoholic hepatitis,3," abdominal_pain,  swelling_of_stomach,  vomiting",0.85
Alcoholic hepatitis,3," abdominal_pain,  history_of_alcohol_consumption,  yellowish_skin",0.85
Alcoholic hepatitis,3," history_of_alcohol_consumption,  swelling_of_stomach,  yellowish_skin",0.85
Alcoholic hepatitis,3," fluid_overload,  history_of_alcohol_consumption,  vomiting",0.85
Alcoholic hepatitis,3," fluid_overload,  vomiting,  yellowish_skin",0.85
Alcoholic hepatitis,3," history_of_alcohol_consumption,  swelling_of_stomach,  vomiting",0.85
Alcoholic hepatitis,3," distention_of_abdomen,  fluid_overload,  history_of_alcohol_consumption",0.85
Alcoholic hepatitis,3," distention_of_abdomen,  fluid_overload,  yellowish_skin",0.85
Alcoholic hepatitis,3," distention_of_abdomen,  history_of_alcohol_consumption,  swelling_of_stomach",0.85
Alcoholic hepatitis,3," abdominal_pain,  history_of_alcohol_consumption,  swelling_of_stomach",0.85
Alcoholic hepatitis,3," abdominal_pain,  distention_of_abdomen,  fluid_overload",0.85
Alcoholic hepatitis,3," fluid_overload,  history_of_alcohol_consumption,  yellowish_skin",0.85
Alcoholic hepatitis,3," distention_of_abdomen,  fluid_overload,  vomiting",0.85
Alcoholic hepatitis,3," distention_of_abdomen,  swelling_of_stomach,  vomiting",0.85
Alcoholic hepatitis,3," abdominal_pain,  distention_of_abdomen,  yellowish_skin",0.85
Alcoholic hepatitis,3," abdominal_pain,  distention_of_abdomen,  history_of_alcohol_consumption",0.85
Alcoholic hepatitis,3," abdominal_pain,  distention_of_abdomen,  swelling_of_stomach",0.85
Alcoholic hepatitis,3," distention_of_abdomen,  fluid_overload,  swelling_of_stomach",0.85
Alcoholic hepatitis,3," distention_of_abdomen,  history_of_alcohol_consumption,  yellowish_skin",0.85
Alcoholic hepatitis,3," fluid_overload,  swelling_of_stomach,  vomiting",0.85
Alcoholic hepatitis,3," history_of_alcohol_consumption,  vomiting,  yellowish_skin",0.85
Alcoholic hepatitis,3," abdominal_pain,  distention_of_abdomen,  vomiting",0.85
Alcoholic hepatitis,3," distention_of_abdomen,  vomiting,  yellowish_skin",0.85
Alcoholic hepatitis,4," distention_of_abdomen,  swelling_of_stomach,  vomiting,  yellowish_skin",0.8
Alcoholic hepatitis,4," fluid_overload,  history_of_alcohol_consumption,  vomiting,  yellowish_skin",0.8
Alcoholic hepatitis,4," abdominal_pain,  fluid_overload,  swelling_of_stomach,  yellowish_skin",0.8
Alcoholic hepatitis,4," abdominal_pain,  history_of_alcohol_consumption,  swelling_of_stomach,  vomiting",0.8
Alcoholic hepatitis,4," abdominal_pain,  fluid_overload,  history_of_alcohol_consumption,  yellowish_skin",0.8
Alcoholic hepatitis,4," abdominal_pain,  history_of_alcohol_consumption,  swelling_of_stomach,  yellowish_skin",0.8
Alcoholic hepatitis,4," fluid_overload,  history_of_alcohol_consumption,  swelling_of_stomach,  yellowish_skin",0.8
Alcoholic hepatitis,4," distention_of_abdomen,  history_of_alcohol_consumption,  swelling_of_stomach,  yellowish_skin",0.8
Alcoholic hepatitis,4," history_of_alcohol_consumption,  swelling_of_stomach,  vomiting,  yellowish_skin",0.8
Alcoholic hepatitis,4," abdominal_pain,  history_of_alcohol_consumption,  vomiting,  yellowish_skin",0.8
Alcoholic hepatitis,4," abdominal_pain,  fluid_overload,  history_of_alcohol_consumption,  swelling_of_stomach",0.8
Alcoholic hepatitis,4," abdominal_pain,  fluid_overload,  vomiting,  yellowish_skin",0.8
Alcoholic hepatitis,4," abdominal_pain,  fluid_overload,  history_of_alcohol_consumption,  vomiting",0.8
Alcoholic hepatitis,4," abdominal_pain,  swelling_of_stomach,  vomiting,  yellowish_skin",0.8
Alcoholic hepatitis,4," fluid_overload,  swelling_of_stomach,  vomiting,  yellowish_skin",0.8
Alcoholic hepatitis,4," distention_of_abdomen,  fluid_overload,  swelling_of_stomach,  yellowish_skin",0.8
Alcoholic hepatitis,4," distention_of_abdomen,  history_of_alcohol_consumption,  vomiting,  yellowish_skin",0.8
Alcoholic hepatitis,4," distention_of_abdomen,  fluid_overload,  swelling_of_stomach,  vomiting",0.8
Alcoholic hepatitis,4," abdominal_pain,  distention_of_abdomen,  swelling_of_stomach,  vomiting",0.8
Alcoholic hepatitis,4," abdominal_pain,  fluid_overload,  swelling_of_stomach,  vomiting",0.8
Alcoholic hepatitis,4," abdominal_pain,  distention_of_abdomen,  history_of_alcohol_consumption,  vomiting",0.8
Alcoholic hepatitis,4," abdominal_pain,  distention_of_abdomen,  vomiting,  yellowish_skin",0.8
Alcoholic hepatitis,4," fluid_overload,  history_of_alcohol_consumption,  swelling_of_stomach,  vomiting",0.8
Alcoholic hepatitis,4," distention_of_abdomen,  fluid_overload,  history_of_alcohol_consumption,  swelling_of_stomach",0.8
Alcoholic hepatitis,4," abdominal_pain,  distention_of_abdomen,  history_of_alcohol_consumption,  swelling_of_stomach",0.8
Alcoholic hepatitis,4," abdominal_pain,  distention_of_abdomen,  fluid_overload,  vomiting",0.8
Alcoholic hepatitis,4," abdominal_pain,  distention_of_abdomen,  history_of_alcohol_consumption,  yellowish_skin",0.8
Alcoholic hepatitis,4," distention_of_abdomen,  history_of_alcohol_consumption,  swelling_of_stomach,  vomiting",0.8
Alcoholic hepatitis,4," distention_of_abdomen,  fluid_overload,  vomiting,  yellowish_skin",0.8
Alcoholic hepatitis,4," distention_of_abdomen,  fluid_overload,  history_of_alcohol_consumption,  vomiting",0.8
Alcoholic hepatitis,4," abdominal_pain,  distention_of_abdomen,  fluid_overload,  yellowish_skin",0.8
Alcoholic hepatitis,4," abdominal_pain,  distention_of_abdomen,  fluid_overload,  history_of_alcohol_consumption",0.8
Alcoholic hepatitis,4," abdominal_pain,  distention_of_abdomen,  swelling_of_stomach,  yellowish_skin",0.8
Alcoholic hepatitis,4," abdominal_pain,  distention_of_abdomen,  fluid_overload,  swelling_of_stomach",0.8
Alcoholic hepatitis,4," distention_of_abdomen,  fluid_overload,  history_of_alcohol_consumption,  yellowish_skin",0.8
Alcoholic hepatitis,4," distention_of_abdomen,  swelling_of_stomach,  vomiting,  yellowish_skin",0.8
Alcoholic hepatitis,4," fluid_overload,  history_of_alcohol_consumption,  vomiting,  yellowish_skin",0.8
Alcoholic hepatitis,4," abdominal_pain,  fluid_overload,  swelling_of_stomach,  yellowish_skin",0.8
Alcoholic hepatitis,4," abdominal_pain,  history_of_alcohol_consumption,  swelling_of_stomach,  vomiting",0.8
Alcoholic hepatitis,4," abdominal_pain,  fluid_overload,  history_of_alcohol_consumption,  yellowish_skin",0.8
Alcoholic hepatitis,4," abdominal_pain,  history_of_alcohol_consumption,  swelling_of_stomach,  yellowish_skin",0.8
Alcoholic hepatitis,4," fluid_overload,  history_of_alcohol_consumption,  swelling_of_stomach,  yellowish_skin",0.8
Alcoholic hepatitis,4," distention_of_abdomen,  history_of_alcohol_consumption,  swelling_of_stomach,  yellowish_skin",0.8
Alcoholic hepatitis,4," history_of_alcohol_consumption,  swelling_of_stomach,  vomiting,  yellowish_skin",0.8
Alcoholic hepatitis,4," abdominal_pain,  history_of_alcohol_consumption,  vomiting,  yellowish_skin",0.8
Alcoholic hepatitis,4," abdominal_pain,  fluid_overload,  history_of_alcohol_consumption,  swelling_of_stomach",0.8
Alcoholic hepatitis,4," abdominal_pain,  fluid_overload,  vomiting,  yellowish_skin",0.8
Alcoholic hepatitis,4," abdominal_pain,  fluid_overload,  history_of_alcohol_consumption,  vomiting",0.8
Alcoholic hepatitis,4," abdominal_pain,  swelling_of_stomach,  vomiting,  yellowish_skin",0.8
Alcoholic hepatitis,4," fluid_overload,  swelling_of_stomach,  vomiting,  yellowish_skin",0.8
Alcoholic hepatitis,4," distention_of_abdomen,  fluid_overload,  swelling_of_stomach,  yellowish_skin",0.8
Alcoholic hepatitis,4," distention_of_abdomen,  history_of_alcohol_consumption,  vomiting,  yellowish_skin",0.8
Alcoholic hepatitis,4," distention_of_abdomen,  fluid_overload,  swelling_of_stomach,  vomiting",0.8
Alcoholic hepatitis,4," abdominal_pain,  distention_of_abdomen,  swelling_of_stomach,  vomiting",0.8
Alcoholic hepatitis,4," abdominal_pain,  fluid_overload,  swelling_of_stomach,  vomiting",0.8
Alcoholic hepatitis,4," abdominal_pain,  distention_of_abdomen,  history_of_alcohol_consumption,  vomiting",0.8
Alcoholic hepatitis,4," abdominal_pain,  distention_of_abdomen,  vomiting,  yellowish_skin",0.8
Alcoholic hepatitis,4," fluid_overload,  history_of_alcohol_consumption,  swelling_of_stomach,  vomiting",0.8
Alcoholic hepatitis,4," distention_of_abdomen,  fluid_overload,  history_of_alcohol_consumption,  swelling_of_stomach",0.8
Alcoholic hepatitis,4," abdominal_pain,  distention_of_abdomen,  history_of_alcohol_consumption,  swelling_of_stomach",0.8
Alcoholic hepatitis,4," abdominal_pain,  distention_of_abdomen,  fluid_overload,  vomiting",0.8
Alcoholic hepatitis,4," abdominal_pain,  distention_of_abdomen,  history_of_alcohol_consumption,  yellowish_skin",0.8
Alcoholic hepatitis,4," distention_of_abdomen,  history_of_alcohol_consumption,  swelling_of_stomach,  vomiting",0.8
Alcoholic hepatitis,4," distention_of_abdomen,  fluid_overload,  vomiting,  yellowish_skin",0.8
Alcoholic hepatitis,4," distention_of_abdomen,  fluid_overload,  history_of_alcohol_consumption,  vomiting",0.8
Alcoholic hepatitis,4," abdominal_pain,  distention_of_abdomen,  fluid_overload,  yellowish_skin",0.8
Alcoholic hepatitis,4," abdominal_pain,  distention_of_abdomen,  fluid_overload,  history_of_alcohol_consumption",0.8
Alcoholic hepatitis,4," abdominal_pain,  distention_of_abdomen,  swelling_of_stomach,  yellowish_skin",0.8
Alcoholic hepatitis,4," abdominal_pain,  distention_of_abdomen,  fluid_overload,  swelling_of_stomach",0.8
Alcoholic hepatitis,4," distention_of_abdomen,  fluid_overload,  history_of_alcohol_consumption,  yellowish_skin",0.8
Alcoholic hepatitis,5," abdominal_pain,  distention_of_abdomen,  swelling_of_stomach,  vomiting,  yellowish_skin",0.75
Alcoholic hepatitis,5," abdominal_pain,  distention_of_abdomen,  history_of_alcohol_consumption,  swelling_of_stomach,  vomiting",0.75
Alcoholic hepatitis,5," abdominal_pain,  distention_of_abdomen,  fluid_overload,  vomiting,  yellowish_skin",0.75
Alcoholic hepatitis,5," distention_of_abdomen,  fluid_overload,  history_of_alcohol_consumption,  swelling_of_stomach,  yellowish_skin",0.75
Alcoholic hepatitis,5," distention_of_abdomen,  history_of_alcohol_consumption,  swelling_of_stomach,  vomiting,  yellowish_skin",0.75
Alcoholic hepatitis,5," abdominal_pain,  distention_of_abdomen,  fluid_overload,  history_of_alcohol_consumption,  swelling_of_stomach",0.75
Alcoholic hepatitis,5," abdominal_pain,  distention_of_abdomen,  fluid_overload,  swelling_of_stomach,  yellowish_skin",0.75
Alcoholic hepatitis,5," abdominal_pain,  fluid_overload,  history_of_alcohol_consumption,  swelling_of_stomach,  vomiting",0.75
Alcoholic hepatitis,5," abdominal_pain,  fluid_overload,  swelling_of_stomach,  vomiting,  yellowish_skin",0.75
Alcoholic hepatitis,5," distention_of_abdomen,  fluid_overload,  history_of_alcohol_consumption,  swelling_of_stomach,  vomiting",0.75
Alcoholic hepatitis,5," distention_of_abdomen,  fluid_overload,  swelling_of_stomach,  vomiting,  yellowish_skin",0.75
Alcoholic hepatitis,5," distention_of_abdomen,  fluid_overload,  history_of_alcohol_consumption,  vomiting,  yellowish_skin",0.75
Alcoholic hepatitis,5," abdominal_pain,  distention_of_abdomen,  history_of_alcohol_consumption,  vomiting,  yellowish_skin",0.75
Alcoholic hepatitis,5," abdominal_pain,  distention_of_abdomen,  fluid_overload,  swelling_of_stomach,  vomiting",0.75
Alcoholic hepatitis,5," abdominal_pain,  fluid_overload,  history_of_alcohol_consumption,  swelling_of_stomach,  yellowish_skin",0.75
Alcoholic hepatitis,5," fluid_overload,  history_of_alcohol_consumption,  swelling_of_stomach,  vomiting,  yellowish_skin",0.75
Alcoholic hepatitis,5," abdominal_pain,  history_of_alcohol_consumption,  swelling_of_stomach,  vomiting,  yellowish_skin",0.75
Alcoholic hepatitis,5," abdominal_pain,  fluid_overload,  history_of_alcohol_consumption,  vomiting,  yellowish_skin",0.75
Alcoholic hepatitis,5," abdominal_pain,  distention_of_abdomen,  fluid_overload,  history_of_alcohol_consumption,  vomiting",0.75
Alcoholic hepatitis,5," abdominal_pain,  distention_of_abdomen,  history_of_alcohol_consumption,  swelling_of_stomach,  yellowish_skin",0.75
Alcoholic hepatitis,5," abdominal_pain,  distention_of_abdomen,  fluid_overload,  history_of_alcohol_consumption,  yellowish_skin",0.75
Alcoholic hepatitis,5," abdominal_pain,  distention_of_abdomen,  swelling_of_stomach,  vomiting,  yellowish_skin",0.75
Alcoholic hepatitis,5," abdominal_pain,  distention_of_abdomen,  history_of_alcohol_consumption,  swelling_of_stomach,  vomiting",0.75
Alcoholic hepatitis,5," abdominal_pain,  distention_of_abdomen,  fluid_overload,  vomiting,  yellowish_skin",0.75
Alcoholic hepatitis,5," distention_of_abdomen,  fluid_overload,  history_of_alcohol_consumption,  swelling_of_stomach,  yellowish_skin",0.75
Alcoholic hepatitis,5," distention_of_abdomen,  history_of_alcohol_consumption,  swelling_of_stomach,  vomiting,  yellowish_skin",0.75
Alcoholic hepatitis,5," abdominal_pain,  distention_of_abdomen,  fluid_overload,  history_of_alcohol_consumption,  swelling_of_stomach",0.75
Alcoholic hepatitis,5," abdominal_pain,  distention_of_abdomen,  fluid_overload,  swelling_of_stomach,  yellowish_skin",0.75
Alcoholic hepatitis,5," abdominal_pain,  fluid_overload,  history_of_alcohol_consumption,  swelling_of_stomach,  vomiting",0.75
Alcoholic hepatitis,5," abdominal_pain,  fluid_overload,  swelling_of_stomach,  vomiting,  yellowish_skin",0.75
Alcoholic hepatitis,5," distention_of_abdomen,  fluid_overload,  history_of_alcohol_consumption,  swelling_of_stomach,  vomiting",0.75
Alcoholic hepatitis,5," distention_of_abdomen,  fluid_overload,  swelling_of_stomach,  vomiting,  yellowish_skin",0.75
Alcoholic hepatitis,5," distention_of_abdomen,  fluid_overload,  history_of_alcohol_consumption,  vomiting,  yellowish_skin",0.75
Alcoholic hepatitis,5," abdominal_pain,  distention_of_abdomen,  history_of_alcohol_consumption,  vomiting,  yellowish_skin",0.75
Alcoholic hepatitis,5," abdominal_pain,  distention_of_abdomen,  fluid_overload,  swelling_of_stomach,  vomiting",0.75
Alcoholic hepatitis,5," abdominal_pain,  fluid_overload,  history_of_alcohol_consumption,  swelling_of_stomach,  yellowish_skin",0.75
Alcoholic hepatitis,5," fluid_overload,  history_of_alcohol_consumption,  swelling_of_stomach,  vomiting,  yellowish_skin",0.75
Alcoholic hepatitis,5," abdominal_pain,  history_of_alcohol_consumption,  swelling_of_stomach,  vomiting,  yellowish_skin",0.75
Alcoholic hepatitis,5," abdominal_pain,  fluid_overload,  history_of_alcohol_consumption,  vomiting,  yellowish_skin",0.75
Alcoholic hepatitis,5," abdominal_pain,  distention_of_abdomen,  fluid_overload,  history_of_alcohol_consumption,  vomiting",0.75
Alcoholic hepatitis,5," abdominal_pain,  distention_of_abdomen,  history_of_alcohol_consumption,  swelling_of_stomach,  yellowish_skin",0.75
Alcoholic hepatitis,5," abdominal_pain,  distention_of_abdomen,  fluid_overload,  history_of_alcohol_consumption,  yellowish_skin",0.75
Alcoholic hepatitis,6," abdominal_pain,  distention_of_abdomen,  fluid_overload,  history_of_alcohol_consumption,  swelling_of_stomach,  yellowish_skin",0.7
Alcoholic hepatitis,6," abdominal_pain,  distention_of_abdomen,  fluid_overload,  swelling_of_stomach,  vomiting,  yellowish_skin",0.7
Alcoholic hepatitis,6," abdominal_pain,  distention_of_abdomen,  fluid_overload,  history_of_alcohol_consumption,  swelling_of_stomach,  vomiting",0.7
Alcoholic hepatitis,6," abdominal_pain,  distention_of_abdomen,  fluid_overload,  history_of_alcohol_consumption,  vomiting,  yellowish_skin",0.7
Alcoholic hepatitis,6," distention_of_abdomen,  fluid_overload,  history_of_alcohol_consumption,  swelling_of_stomach,  vomiting,  yellowish_skin",0.7
Alcoholic hepatitis,6," abdominal_pain,  distention_of_abdomen,  history_of_alcohol_consumption,  swelling_of_stomach,  vomiting,  yellowish_skin",0.7
Alcoholic hepatitis,6," abdominal_pain,  fluid_overload,  history_of_alcohol_consumption,  swelling_of_stomach,  vomiting,  yellowish_skin",0.7
Alcoholic hepatitis,6," abdominal_pain,  distention_of_abdomen,  fluid_overload,  history_of_alcohol_consumption,  swelling_of_stomach,  yellowish_skin",0.7
Alcoholic hepatitis,6," abdominal_pain,  distention_of_abdomen,  fluid_overload,  swelling_of_stomach,  vomiting,  yellowish_skin",0.7
Alcoholic hepatitis,6," abdominal_pain,  distention_of_abdomen,  fluid_overload,  history_of_alcohol_consumption,  swelling_of_stomach,  vomiting",0.7
Alcoholic hepatitis,6," abdominal_pain,  distention_of_abdomen,  fluid_overload,  history_of_alcohol_consumption,  vomiting,  yellowish_skin",0.7
Alcoholic hepatitis,6," distention_of_abdomen,  fluid_overload,  history_of_alcohol_consumption,  swelling_of_stomach,  vomiting,  yellowish_skin",0.7
Alcoholic hepatitis,6," abdominal_pain,  distention_of_abdomen,  history_of_alcohol_consumption,  swelling_of_stomach,  vomiting,  yellowish_skin",0.7
Alcoholic hepatitis,6," abdominal_pain,  fluid_overload,  history_of_alcohol_consumption,  swelling_of_stomach,  vomiting,  yellowish_skin",0.7
Alcoholic hepatitis,7," abdominal_pain,  distention_of_abdomen,  fluid_overload,  history_of_alcohol_consumption,  swelling_of_stomach,  vomiting,  yellowish_skin",0.65
Alcoholic hepatitis,7," abdominal_pain,  distention_of_abdomen,  fluid_overload,  history_of_alcohol_consumption,  swelling_of_stomach,  vomiting,  yellowish_skin",0.65
Chronic cholestasis,1, abdominal_pain,0.95
Chronic cholestasis,1, loss_of_appetite,0.95
Chronic cholestasis,1, nausea,0.95
Chronic cholestasis,1, vomiting,0.95
Chronic cholestasis,1, yellowing_of_eyes,0.95
Chronic cholestasis,1, yellowish_skin,0.95
Chronic cholestasis,1,itching,0.95
Chronic cholestasis,2," loss_of_appetite,  yellowing_of_eyes",0.9
Chronic cholestasis,2," yellowing_of_eyes, itching",0.9
Chronic cholestasis,2," nausea,  vomiting",0.9
Chronic cholestasis,2," nausea, itching",0.9
Chronic cholestasis,2," yellowing_of_eyes,  yellowish_skin",0.9
Chronic cholestasis,2," abdominal_pain,  yellowish_skin",0.9
Chronic cholestasis,2," vomiting,  yellowing_of_eyes",0.9
Chronic cholestasis,2," abdominal_pain, itching",0.9
Chronic cholestasis,2," abdominal_pain,  vomiting",0.9
Chronic cholestasis,2," abdominal_pain,  nausea",0.9
Chronic cholestasis,2," abdominal_pain,  yellowing_of_eyes",0.9
Chronic cholestasis,2," nausea,  yellowing_of_eyes",0.9
Chronic cholestasis,2," yellowish_skin, itching",0.9
Chronic cholestasis,2," vomiting,  yellowish_skin",0.9
Chronic cholestasis,2," loss_of_appetite, itching",0.9
Chronic cholestasis,2," loss_of_appetite,  vomiting",0.9
Chronic cholestasis,2," abdominal_pain,  loss_of_appetite",0.9
Chronic cholestasis,2," vomiting, itching",0.9
Chronic cholestasis,2," loss_of_appetite,  yellowish_skin",0.9
Chronic cholestasis,2," loss_of_appetite,  nausea",0.9
Chronic cholestasis,2," nausea,  yellowish_skin",0.9
Chronic cholestasis,2," loss_of_appetite,  yellowing_of_eyes",0.9
Chronic cholestasis,2," yellowing_of_eyes, itching",0.9
Chronic cholestasis,2," nausea,  vomiting",0.9
Chronic cholestasis,2," nausea, itching",0.9
Chronic cholestasis,2," yellowing_of_eyes,  yellowish_skin",0.9
Chronic cholestasis,2," abdominal_pain,  yellowish_skin",0.9
Chronic cholestasis,2," vomiting,  yellowing_of_eyes",0.9
Chronic cholestasis,2," abdominal_pain, itching",0.9
Chronic cholestasis,2," abdominal_pain,  vomiting",0.9
Chronic cholestasis,2," abdominal_pain,  nausea",0.9
